br_inst_retired.all_branches_pebs:u,br_misp_retired.all_branches_pebs:u,cpu-cycles:u,instructions:u
5379208.0,130204.0,30015920.0,25628615.0
5339867.0,128303.0,29956880.0,25402902.0
5451681.0,128612.0,29977661.0,25963958.0
5335712.0,128492.0,29900236.0,25405410.0
5288049.0,128224.0,29914398.0,25147745.0
5336879.0,130230.0,29963344.0,25337202.0
5410542.0,130553.0,29903614.0,25742317.0
5305788.0,128906.0,29893107.0,25205651.0
5401212.0,129138.0,29962281.0,25759957.0
5374026.0,129015.0,30030111.0,25600505.0
5375330.0,126441.0,29949330.0,25652087.0
5617065.0,129340.0,30109584.0,26915655.0
5335952.0,125655.0,30099513.0,25526165.0
5309018.0,126467.0,29996922.0,25309837.0
5278551.0,128000.0,30084495.0,25083138.0
5401660.0,128432.0,29986279.0,25733904.0
5245157.0,125468.0,29878181.0,24977515.0
5423369.0,126599.0,30045575.0,25879833.0
5314804.0,127510.0,29994533.0,25322909.0
5337430.0,126858.0,30024639.0,25458155.0
5354598.0,127868.0,29954516.0,25503957.0
5311528.0,127578.0,30016513.0,25267737.0
5351096.0,127808.0,29951018.0,25481945.0
5348735.0,127989.0,29943787.0,25468773.0
5428548.0,128541.0,29938057.0,25857934.0
5329428.0,129206.0,29936591.0,25345680.0
5426141.0,130113.0,29882808.0,25837611.0
5395869.0,132042.0,29898445.0,25616254.0
5331139.0,129848.0,29974413.0,25277333.0
5467360.0,130557.0,29933241.0,26040300.0
5496506.0,130719.0,29923335.0,26136477.0
5357570.0,128514.0,30015492.0,25540289.0
5454069.0,130502.0,30052043.0,26020349.0
5332619.0,128346.0,29898634.0,25368760.0
5400409.0,130328.0,29913740.0,25641445.0
5515694.0,134043.0,29874317.0,26224646.0
5359967.0,128732.0,29908665.0,25524059.0
5382218.0,130137.0,29971345.0,25613209.0
5533023.0,130198.0,29962213.0,26361157.0
5376408.0,130769.0,29949105.0,25556568.0
5356642.0,127724.0,29953745.0,25530743.0
5353318.0,128135.0,30011119.0,25484266.0
5627757.0,134073.0,29924763.0,26820980.0
5406836.0,129314.0,29876569.0,25770004.0
5344809.0,127255.0,30016847.0,25482280.0
5369724.0,129204.0,29977179.0,25528778.0
5371214.0,127706.0,29662343.0,25530299.0
5408276.0,130040.0,30018044.0,25794346.0
5390555.0,129763.0,29981972.0,25663666.0
5527439.0,129153.0,29853617.0,26280690.0
5371019.0,128829.0,30002812.0,25576044.0
